ID,id,ISSUE_DT,MATURITY,COUPON,ID_ISIN,CALLABLE,SERIES,INFLATION_LINKED_INDICATOR,CURRENCY
ED920781 Corp,ED920781 Corp,5/4/2005,5/4/2020,3.816,XS0218819455,N,EMTN,N,EUR
EI615609 Corp,EI615609 Corp,3/24/2011,4/4/2018,3.25,EU000A1GN002,N,EMTN,N,EUR
EI529410 Corp,EI529410 Corp,1/12/2011,12/4/2015,2.5,EU000A1GKVZ9,N,EMTN,N,EUR
EH844428 Corp,EH844428 Corp,6/4/2009,6/4/2014,3.077,EU000A1AHHH5,N,EMTN,N,EUR
EI407515 Corp,EI407515 Corp,9/22/2010,9/22/2017,2.375,EU000A1A1DJ5,N,EMTN,N,EUR
EH762173 Corp,EH762173 Corp,3/26/2009,11/7/2014,3.25,EU000A0T74M4,N,EMTN,N,EUR
EH881265 Corp,EH881265 Corp,7/6/2009,4/6/2016,3.625,EU000A1AJM31,N,EMTN,N,EUR
EH906907 Corp,EH906907 Corp,7/27/2009,1/27/2015,3.125,EU000A1AKD47,N,EMTN,N,EUR
EH726211 Corp,EH726211 Corp,2/25/2009,4/3/2014,3.125,EU000A0T61X8,N,EMTN,N,EUR
EH644701 Corp,EH644701 Corp,12/9/2008,12/9/2011,3.25,EU000A0T4N87,N,EMTN,N,EUR
EI716713 Corp,EI716713 Corp,6/22/2011,10/4/2018,3.125,EU000A1GSWT3,N,EMTN,N,EUR
EI829736 Corp,EI829736 Corp,10/6/2011,10/4/2018,2.375,EU000A1GV187,N,EMTN,N,EUR
EI814957 Corp,EI814957 Corp,9/21/2011,9/21/2021,2.75,EU000A1GVJX6,N,EMTN,N,EUR
EJ544956 Corp,EJ544956 Corp,2/11/2013,2/10/2023,2,EU000A1VBEM1,N,EMTN,N,EUR
EI173861 Corp,EI173861 Corp,3/11/2010,5/10/2019,3.375,EU000A0VUCF1,N,EMTN,N,EUR
EI690094 Corp,EI690094 Corp,5/31/2011,6/4/2021,3.5,EU000A1GRVV3,N,EMTN,N,EUR
EI692073 Corp,EI692073 Corp,6/1/2011,6/3/2016,2.75,EU000A1GRYT1,N,EMTN,N,EUR
EJ150056 Corp,EJ150056 Corp,5/4/2012,4/4/2022,2.75,EU000A1G4DN5,N,EMTn,N,EUR
EI737891 Corp,EI737891 Corp,7/12/2011,7/12/2019,3.382,EU000A1GTHP0,N,EMTN,N,EUR
MM117098 Corp,MM117098 Corp,8/16/1995,8/16/2002,3.36875,XS0059334713,N,EMTN,N,EUR
FF100773 Corp,FF100773 Corp,#N/A Field Not Applicable,1/28/1997,12.3,FR0000041816,N,#N/A Field Not Applicable,N,FRF
MM112986 Corp,MM112986 Corp,12/28/1995,12/28/2005,2.04794,XS0062595706,N,EMTN,N,EUR
EK326258 Corp,EK326258 Corp,6/17/2014,4/4/2024,1.875,EU000A1ZKQ35,N,JUN,N,EUR
EK276355 Corp,EK276355 Corp,5/20/2014,4/4/2024,1.875,EU000A1ZJJN2,N,mAY,N,EUR
MM129027 Corp,MM129027 Corp,9/25/1997,9/25/2007,3.88913,XS0080177941,Y,EMTN,N,EUR
MM127937 Corp,MM127937 Corp,12/23/1997,12/23/2004,2.131,XS0083184506,N,EMTN,N,EUR
MM133801 Corp,MM133801 Corp,2/10/1998,2/10/2008,4.32175,XS0083965748,Y,EMTN,N,EUR
TT316623 Corp,TT316623 Corp,11/3/1993,11/3/2000,6,XS0046785910,N,#N/A Field Not Applicable,N,EUR
TT316674 Corp,TT316674 Corp,11/25/1993,11/25/1998,5.5,XS0046993944,N,#N/A Field Not Applicable,N,XEU
TT313939 Corp,TT313939 Corp,3/10/1993,3/10/2000,6.5,DE0004100052,N,#N/A Field Not Applicable,N,DEM
TT316508 Corp,TT316508 Corp,11/10/1993,11/10/1998,5.625,DE0004120506,N,#N/A Field Not Applicable,N,DEM
TT313892 Corp,TT313892 Corp,3/11/1993,3/11/1996,7.875,XS0042402783,N,#N/A Field Not Applicable,N,XEU
TT307561 Corp,TT307561 Corp,2/14/1991,2/14/1996,9.75,XS0030231095,N,#N/A Field Not Applicable,N,XEU
TT307846 Corp,TT307846 Corp,3/18/1991,3/18/1998,9.25,XS0030730500,N,#N/A Field Not Applicable,N,XEU
TT329771 Corp,TT329771 Corp,10/30/1996,10/30/2006,2.87313,XS0070763718,Y,EMTN,N,EUR
TT310049 Corp,TT310049 Corp,1/14/1992,12/15/1997,8.625,XS0035572519,N,#N/A Field Not Applicable,N,XEU
TT310066 Corp,TT310066 Corp,1/31/1992,2/1/1999,8.375,XS0036017068,N,#N/A Field Not Applicable,N,EUR
TT335622 Corp,TT335622 Corp,9/30/1997,9/30/2012,0.32429,XS0080461741,N,EMTN,N,EUR
MM100232 Corp,MM100232 Corp,7/27/1993,7/27/2000,6.75,XS0045150645,N,EMTN,N,EUR
MM101971 Corp,MM101971 Corp,12/7/1994,12/7/2001,8.375,XS0054405641,N,EMTN,N,EUR
UV980852 Corp,UV980852 Corp,10/1/2015,11/4/2023,0.625,EU000A1Z6630,N,EMTN,N,EUR
TT318914 Corp,TT318914 Corp,8/17/1994,8/17/2001,7.25,XS0052213823,N,#N/A Field Not Applicable,N,EUR
TT325647 Corp,TT325647 Corp,11/27/1995,11/3/2000,6,#N/A Field Not Applicable,N,NOV,N,XEU
TT324935 Corp,TT324935 Corp,11/24/1995,11/24/2000,4,CH0004132988,N,D,N,CHF
TT324932 Corp,TT324932 Corp,11/24/1995,11/24/1997,3,CH0004132947,N,A,N,CHF
TT324933 Corp,TT324933 Corp,11/24/1995,11/24/1998,3.5,CH0004132954,N,B,N,CHF
TT324934 Corp,TT324934 Corp,11/24/1995,11/24/1999,3.75,CH0004132970,N,C,N,CHF
ZZ100983 Corp,ZZ100983 Corp,#N/A Field Not Applicable,11/15/1996,7.5,DE0004741301,Y,#N/A Field Not Applicable,N,DEM
ZZ207691 Corp,ZZ207691 Corp,#N/A Field Not Applicable,12/16/1996,7,XS0000000587,N,#N/A Field Not Applicable,N,LUF
ZZ101009 Corp,ZZ101009 Corp,#N/A Field Not Applicable,12/15/1998,12.125,LU0002624046,Y,#N/A Field Not Applicable,N,USD
ZZ201419 Corp,ZZ201419 Corp,#N/A Field Not Applicable,9/19/1997,6.5,DE0004764139,Y,#N/A Field Not Applicable,N,DEM
ZZ202173 Corp,ZZ202173 Corp,#N/A Field Not Applicable,1/15/1998,7.25,NL0000204634,N,#N/A Field Not Applicable,N,NLG
ZZ203051 Corp,ZZ203051 Corp,2/21/1986,2/15/1996,9.125,GB0043189140,N,#N/A Field Not Applicable,N,USD
ZZ203633 Corp,ZZ203633 Corp,#N/A Field Not Applicable,7/15/2000,7.75,NL0000204618,N,#N/A Field Not Applicable,N,NLG
ZZ205568 Corp,ZZ205568 Corp,6/20/1986,6/20/1996,8.25,GB0043177624,N,#N/A Field Not Applicable,N,USD
ZZ209467 Corp,ZZ209467 Corp,4/7/1987,4/7/1997,8.75,FR0008753214,N,A,N,FRF
ZZ211375 Corp,ZZ211375 Corp,#N/A Field Not Applicable,6/3/1997,6,DE0004811203,N,#N/A Field Not Applicable,N,DEM
ZQ500944 Corp,ZQ500944 Corp,11/13/2019,11/13/2034,0.3,EU000A2R99Z3,N,EMTN,N,EUR
BR419141 Corp,BR419141 Corp,9/21/2021,10/4/2028,0,EU000A3KWCF4,N,NGEU,N,EUR
ZN798922 Corp,ZN798922 Corp,12/14/2022,12/4/2037,2.75,EU000A3K4D09,N,SURE,N,EUR
ZH383933 Corp,ZH383933 Corp,10/17/2023,4/4/2044,4,EU000A3K4EL9,N,NGEU,N,EUR
ZQ102184 Corp,ZQ102184 Corp,10/18/2019,4/18/2034,0.2,EU000A2R9EC1,N,EMTN,N,EUR
ZK350332 Corp,ZK350332 Corp,5/3/2023,10/4/2038,3.375,EU000A3K4D74,N,NGEU,N,EUR
AR495912 Corp,AR495912 Corp,3/6/2018,4/4/2033,1.25,EU000A19XC51,N,EMTN,N,EUR
ZG113253 Corp,ZG113253 Corp,11/21/2023,12/5/2028,3.125,EU000A3K4EN5,N,NGEU,N,EUR
EI434514 Corp,EI434514 Corp,10/20/2010,10/20/2025,2.875,EU000A1A2KZ4,N,EMTN,N,EUR
BX313124 Corp,BX313124 Corp,6/28/2022,2/4/2048,2.625,EU000A3K4DM9,N,NGEU,N,EUR
AZ344342 Corp,AZ344342 Corp,7/3/2019,12/4/2035,0.5,EU000A2R4FY3,N,EMTN,N,EUR
BP552126 Corp,BP552126 Corp,5/25/2021,7/4/2029,0,EU000A3KRJQ6,N,SURE,N,EUR
BP552127 Corp,BP552127 Corp,5/25/2021,1/4/2047,0.75,EU000A3KRJR4,N,SURE,N,EUR
BM727236 Corp,BM727236 Corp,12/1/2020,7/4/2035,0,EU000A285VM2,N,SURE,N,EUR
ZK534589 Corp,ZK534589 Corp,5/16/2023,10/5/2026,2.75,EU000A3K4D82,N,NGEU,N,EUR
BM035084 Corp,BM035084 Corp,10/27/2020,10/4/2040,0.1,EU000A283867,N,SURE,N,EUR
BO714198 Corp,BO714198 Corp,3/30/2021,5/2/2046,0.45,EU000A3KNYG5,N,SURE,N,EUR
AO354299 Corp,AO354299 Corp,7/20/2017,7/20/2032,1.25,EU000A19LSZ0,N,EMTN,N,EUR
BP155942 Corp,BP155942 Corp,4/27/2021,4/22/2036,0.25,EU000A3KP2Z3,N,EMTN,N,EUR
BM035080 Corp,BM035080 Corp,10/27/2020,10/4/2030,0,EU000A283859,N,SURE,N,EUR
BM371021 Corp,BM371021 Corp,11/17/2020,11/4/2025,0,EU000A284451,N,SURE,N,EUR
BM371023 Corp,BM371023 Corp,11/17/2020,11/4/2050,0.3,EU000A284469,N,SURE,N,EUR
BO714194 Corp,BO714194 Corp,3/30/2021,3/4/2026,0,EU000A3KNYF7,N,SURE,N,EUR
BQ507285 Corp,BQ507285 Corp,7/20/2021,4/22/2031,0,EU000A3KT6A3,N,EMTN,N,EUR
BO467536 Corp,BO467536 Corp,3/16/2021,6/4/2036,0.2,EU000A3KM903,N,SURE,N,EUR
BQ507286 Corp,BQ507286 Corp,7/20/2021,7/4/2041,0.45,EU000A3KT6B1,N,NGEU,N,EUR
UV876553 Corp,UV876553 Corp,9/22/2015,10/4/2035,1.5,EU000A1Z6TV6,N,EMTN,N,EUR
ZN378478 Corp,ZN378478 Corp,11/22/2022,2/4/2033,2.75,EU000A3K4DW8,N,NGEU,N,EUR
ZN378480 Corp,ZN378480 Corp,11/22/2022,3/4/2053,3,EU000A3K4DY4,N,NGEU,N,EUR
BN743149 Corp,BN743149 Corp,2/2/2021,6/2/2028,0,EU000A287074,N,SURE,N,EUR
AR010735 Corp,AR010735 Corp,2/6/2018,4/4/2025,0.5,EU000A19VVY6,N,EMTN,N,EUR
BQ059793 Corp,BQ059793 Corp,6/22/2021,7/4/2031,0,EU000A3KSXE1,N,NGEU,N,EUR
ZD153851 Corp,ZD153851 Corp,2/27/2024,12/4/2034,3,EU000A3K4ES4,N,NGEU,N,EUR
BR898393 Corp,BR898393 Corp,10/19/2021,2/4/2037,0.4,EU000A3K4C42,N,NGEU,N,EUR
BZ639420 Corp,BZ639420 Corp,10/18/2022,11/4/2042,3.375,EU000A3K4DV0,N,NGEU,N,EUR
BZ003082 Corp,BZ003082 Corp,9/20/2022,10/4/2027,2,EU000A3K4DS6,N,NGEU,N,EUR
BZ003083 Corp,BZ003083 Corp,9/20/2022,10/4/2052,2.5,EU000A3K4DT4,N,NGEU,N,EUR
BJ837974 Corp,BJ837974 Corp,6/10/2020,6/10/2035,0.125,EU000A28X702,N,EMTN,N,EUR
ZL444747 Corp,ZL444747 Corp,3/14/2023,7/4/2034,3.25,EU000A3K4D41,N,NGEU,N,EUR
EK861229 Corp,EK861229 Corp,4/21/2015,4/4/2026,0.519,EU000A1Z0AU1,N,EMTN,N,EUR
EK861313 Corp,EK861313 Corp,4/21/2015,4/4/2029,0.519,EU000A1Z0AX5,N,EMTN,N,EUR
EK888848 Corp,EK888848 Corp,5/7/2015,5/4/2027,0.49,EU000A1Z0401,N,EMTN,N,EUR
EK861361 Corp,EK861361 Corp,4/21/2015,4/4/2030,0.519,EU000A1Z0AY3,N,EMTN,N,EUR
BQ298628 Corp,BQ298628 Corp,7/6/2021,7/6/2051,0.7,EU000A3KTGW6,N,NGEU,N,EUR
BQ298625 Corp,BQ298625 Corp,7/6/2021,7/6/2026,0,EU000A3KTGV8,N,NGEU,N,EUR
BK484559 Corp,BK484559 Corp,7/16/2020,7/16/2035,0.2,EU000A28Z2F7,N,EMTN,N,EUR
JK695583 Corp,JK695583 Corp,4/13/2016,4/4/2031,0.75,EU000A18Z2D4,N,emtn,N,EUR
JK372466 Corp,JK372466 Corp,3/15/2016,4/4/2036,1.125,EU000A18YZ05,N,EMTN,N,EUR
BU325535 Corp,BU325535 Corp,2/15/2022,10/22/2026,0.25,EU000A3K4DA4,N,EMTN,N,EUR
EK861295 Corp,EK861295 Corp,4/21/2015,4/4/2027,0.519,EU000A1Z0AV9,N,EMtN,N,EUR
EK861301 Corp,EK861301 Corp,4/21/2015,4/4/2028,0.519,EU000A1Z0AW7,N,EMTN,N,EUR
BV089928 Corp,BV089928 Corp,3/11/2022,3/11/2037,0.875,EU000A3K4DC0,N,EMTN,N,EUR
BV413229 Corp,BV413229 Corp,3/29/2022,7/6/2032,1,EU000A3K4DD8,N,NGEU,N,EUR
BV413230 Corp,BV413230 Corp,3/29/2022,6/4/2037,1.125,EU000A3K4DE6,N,SURE,N,EUR
EJ117602 Corp,EJ117602 Corp,4/24/2012,4/4/2038,3.375,EU000A1G30R0,N,EMTN,N,EUR
EJ043129 Corp,EJ043129 Corp,3/5/2012,4/4/2032,3.375,EU000A1G1Q17,N,EMtn,N,EUR
EJ415613 Corp,EJ415613 Corp,10/30/2012,11/4/2027,2.5,EU000A1HBXS7,N,EMT,N,EUR
BY111251 Corp,BY111251 Corp,8/2/2022,8/2/2040,2.125,EU000A3K73L1,N,EMTN,N,EUR
EI951860 Corp,EI951860 Corp,1/16/2012,4/4/2042,3.75,EU000A1GY6W8,N,EMTN,N,EUR
EI823226 Corp,EI823226 Corp,9/29/2011,9/4/2026,3,EU000A1GVVF8,N,EMTN,N,EUR
EK741858 Corp,EK741858 Corp,2/10/2015,12/4/2026,0.77,EU000A1ZVYN6,N,EMTN,N,EUR
EK741864 Corp,EK741864 Corp,2/10/2015,12/4/2025,0.77,EU000A1ZVYM8,N,EMTN,N,EUR
EK741882 Corp,EK741882 Corp,2/10/2015,12/4/2027,0.77,EU000A1ZVYP1,N,EMTN,N,EUR
EK741894 Corp,EK741894 Corp,2/10/2015,12/4/2029,0.77,EU000A1ZVYR7,N,EMTN,N,EUR
EK586058 Corp,EK586058 Corp,11/12/2014,10/4/2029,1.375,EU000A1ZR7H3,N,EMTN,N,EUR
BW463920 Corp,BW463920 Corp,5/18/2022,7/4/2025,0.8,EU000A3K4DJ5,N,NGEU,N,EUR
EK131696 Corp,EK131696 Corp,3/25/2014,4/4/2024,1.875,EU000A1ZE225,N,emtn,N,EUR
BX790836 Corp,BX790836 Corp,7/19/2022,12/4/2029,1.625,EU000A3K7MW2,N,NGEU,N,EUR
BY089316 Corp,BY089316 Corp,8/1/2022,8/1/2034,1.75,EU000A3K4DP2,N,#N/A Field Not Applicable,N,EUR
ZI843270 Corp,ZI843270 Corp,9/19/2023,12/4/2030,3.125,EU000A3LNF05,N,NGEU,N,EUR
EJ257100 Corp,EJ257100 Corp,7/3/2012,4/4/2028,2.875,EU000A1G6TV9,N,EMTN,N,EUR
EK741888 Corp,EK741888 Corp,2/10/2015,12/4/2028,0.77,EU000A1ZVYQ9,N,eMTN,N,EUR
QJ915046 Corp,QJ915046 Corp,12/1/2015,12/1/2028,1.125,EU000A18VJA3,N,EMTN,N,EUR
BV719365 Corp,BV719365 Corp,4/12/2022,2/4/2043,1.25,EU000A3K4DG1,N,NGEU,N,EUR
BW649984 Corp,BW649984 Corp,5/25/2022,5/25/2037,1.875,EU000A3K4DK3,N,EMTN,N,EUR
